image,name,role,king,current-status,hasJob,wikipedia,resigned,context
assets/ofir-akonis.png,אופיר אָקוּנִיס,"שר המדע, החדשנות והטכנולוגיה",true,,true,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%A4%D7%99%D7%A8_%D7%90%D7%A7%D7%95%D7%A0%D7%99%D7%A1,,
assets/ofir-katz.png,אופיר כץ,יושב ראש ועדת הכנסת,,,true,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%A4%D7%99%D7%A8_%D7%9B%D7%A5,,
assets/amichai-eliyau.png,עמיחי בן־אליהו,שר המורשת,true,,true,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%99%D7%97%D7%99_%D7%90%D7%9C%D7%99%D7%94%D7%95,,
assets/ofir-sofer.png,אופיר סופר," שר העלייה והקליטה",true,,true,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%A4%D7%99%D7%A8_%D7%A1%D7%95%D7%A4%D7%A8,,
assets/ohad-tal.png,אוהד טל,יושב ראש הוועדה למיזמים ציבוריים,,,true,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%94%D7%93_%D7%98%D7%9C,,
assets/osher-shkalim.png,אושר שקלים,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%A9%D7%A8_%D7%A9%D7%A7%D7%9C%D7%99%D7%9D,,
assets/sason-sasi-gueta.png,ששון ששי גואטה,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%A9%D7%A9%D7%95%D7%9F_%D7%92%D7%95%D7%90%D7%98%D7%94,,
assets/shalum-danino.png,שלום דנינו,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%A9%D7%9C%D7%95%D7%9D_%D7%93%D7%A0%D7%99%D7%A0%D7%95,,
assets/shimha-rotman.png,שמחה דן רוטמן,"יושב ראש ועדת החוקה, חוק ומשפט",,,true,https://he.wikipedia.org/wiki/%D7%A9%D7%9E%D7%97%D7%94_%D7%A8%D7%95%D7%98%D7%9E%D7%9F,,
assets/shlomo-kery.png,שלמה קַרְעי," שר התקשורת",,,true,https://he.wikipedia.org/wiki/%D7%A9%D7%9C%D7%9E%D7%94_%D7%A7%D7%A8%D7%A2%D7%99,,
assets/simon-moshiashvili.png,סימיון (סימון) מושיאשוילי,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%A1%D7%99%D7%9E%D7%99%D7%95%D7%9F_%D7%9E%D7%95%D7%A9%D7%99%D7%90%D7%A9%D7%95%D7%99%D7%9C%D7%99,,
assets/tali-gotlib.png,טלי (רויטל) גוטליב,חברת כנסת,,,,https://he.wikipedia.org/wiki/%D7%98%D7%9C%D7%99_%D7%92%D7%95%D7%98%D7%9C%D7%99%D7%91,,
assets/uri-makleb.png,ישראל מאיר אורי מקלב,סגן שר לפיתוח ותחבורה חרדית,true,,true,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%A8%D7%99_%D7%9E%D7%A7%D7%9C%D7%91,,
assets/urit-strok.png,אורית מלכה סטרוּק,שרת ההתיישבות והמשימות הלאומיות,true,,true,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%A8%D7%99%D7%AA_%D7%A1%D7%98%D7%A8%D7%95%D7%A7,,
assets/yaacov-tesler.png,יואל יעקב (יענקי) טסלר," סגן שר התרבות והספורט",,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A2%D7%A7%D7%91_%D7%98%D7%A1%D7%9C%D7%A8,,
assets/yaakov-asher.png,יעקב אשר,יושב ראש ועדת הפנים והגנת הסביבה,,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A2%D7%A7%D7%91_%D7%90%D7%A9%D7%A8,,
assets/yaakov-margi.png,יעקב מרגי,שר הרווחה והביטחון החברתי,,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A2%D7%A7%D7%91_%D7%9E%D7%A8%D7%92%D7%99,,
assets/yariv-levin.png,יריב גדעון לוין,שר המשפטים וסגן ראש הממשלה,true,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A8%D7%99%D7%91_%D7%9C%D7%95%D7%99%D7%9F,,
assets/yinon-azulai.png,ינון אזולאי,יושב ראש ועדת האתיקה,,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A0%D7%95%D7%9F_%D7%90%D7%96%D7%95%D7%9C%D7%90%D7%99,,
assets/yoav-ben-zor.png,יואב בן צור,שר העבודה,true,,true,https://he.wikipedia.org/wiki/%D7%99%D7%95%D7%90%D7%91_%D7%91%D7%9F_%D7%A6%D7%95%D7%A8,,
assets/yoav-galant.png,יואב גלנט,שר הבטחון,true,,true,https://he.wikipedia.org/wiki/%D7%99%D7%95%D7%90%D7%91_%D7%92%D7%9C%D7%A0%D7%98,,
assets/yoav-kish.png,יואב קיש,שר החינוך,true,,true,https://he.wikipedia.org/wiki/%D7%99%D7%95%D7%90%D7%91_%D7%A7%D7%99%D7%A9,,
assets/yonatan-misriki.png,יונתן (יוני) מישרקי,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%99%D7%95%D7%A0%D7%AA%D7%9F_%D7%9E%D7%99%D7%A9%D7%A8%D7%A7%D7%99,,
assets/yosef-tayeb.png,יוסף (יוסי) טייב,"יושב ראש ועדת החינוך, התרבות והספורט",,,true,https://he.wikipedia.org/wiki/%D7%99%D7%95%D7%A1%D7%99_%D7%98%D7%99%D7%99%D7%91,,
assets/yuli-yuel-edelstein.png,יולי יואל אדלשטיין,יושב ראש ועדת החוץ והביטחון,,,true,https://he.wikipedia.org/wiki/%D7%99%D7%95%D7%9C%D7%99_%D7%90%D7%93%D7%9C%D7%A9%D7%98%D7%99%D7%99%D7%9F,,
assets/zaga-zangesh-malko.png,צֶגָה (צגנש) מֶלָקוּ,חברת כנסת,,,,https://he.wikipedia.org/wiki/%D7%A6%D7%92%D7%94_%D7%9E%D7%9C%D7%A7%D7%95,,
assets/zvi-yedidya-shukut.png,צבי ידידיה סוכות,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%A6%D7%91%D7%99_%D7%A1%D7%95%D7%9B%D7%95%D7%AA,,
assets/zvika-fogel.png,צביקה פוגל,יושב ראש הוועדה לביטחון לאומי,,,true,https://he.wikipedia.org/wiki/%D7%A6%D7%91%D7%99%D7%A7%D7%94_%D7%A4%D7%95%D7%92%D7%9C,,
